,t,o,h,l,c,v
139,1339924500,51,51,51,51,15748.0
140,1340097300,51,51,51,51,89350.0
141,1340183700,51,51,51,51,41277.0
142,1340270100,51,51,51,51,28513.0
143,1340615700,51,52,51,52,9119.0
144,1340874900,52,52,51,51,14224.0
145,1341134100,51,51,51,51,28513.0
146,1341220500,51,51,51,51,45786.0
147,1341306900,51,51,51,51,33784.0
148,1341393300,51,51,51,51,37530.0
149,1341479700,51,51,51,51,123134.0
150,1341738900,51,51,51,51,24004.0
151,1341825300,51,52,51,52,35897.0
152,1341911700,52,52,52,52,21409.0
153,1341998100,52,52,52,52,120822.0
154,1342084500,52,52,52,52,313568.0
155,1342343700,52,53,52,53,106686.0
156,1342430100,53,53,52,52,91004.0
157,1342516500,52,52,52,52,102453.0
158,1342602900,52,53,52,53,98059.0
159,1342689300,53,55,53,54,465269.0
160,1342948500,54,55,54,54,37202.0
161,1343034900,54,55,54,55,279038.0
162,1343121300,54,54,53,54,130779.0
163,1343207700,55,55,54,55,337083.0
164,1343294100,54,55,54,55,252437.0
165,1343553300,55,55,54,54,126824.0
166,1343639700,54,54,54,54,114892.0
167,1343726100,54,54,54,54,152967.0
168,1343812500,54,54,54,54,172741.0
169,1344158100,54,55,54,54,34052.0
170,1344244500,54,55,54,55,249982.0
171,1344330900,55,55,54,54,43570.0
172,1344417300,54,55,54,55,79803.0
173,1344762900,54,54,54,54,11060.0
174,1344849300,54,54,53,54,117306.0
175,1344935700,54,54,54,54,41962.0
176,1345022100,54,54,54,54,32443.0
177,1345108500,53,54,53,53,105106.0
178,1345367700,53,54,53,54,9451.0
179,1345540500,54,54,54,54,211620.0
180,1345626900,55,55,55,55,7230.0
181,1345713300,54,54,54,54,82382.0
182,1345972500,54,54,54,54,13473.0
183,1346058900,55,55,54,54,90359.0
184,1346145300,55,55,55,55,28988.0
185,1346231700,54,54,54,54,49134.0
186,1346318100,54,55,54,54,57848.0
187,1346577300,55,55,55,55,594829.0
188,1346663700,55,56,55,55,1073925.0
189,1346750100,56,56,55,56,882705.0
190,1346836500,56,56,55,55,593163.0
191,1346922900,55,56,55,55,488949.0
192,1347182100,55,55,55,55,151742.0
193,1347268500,55,55,55,55,130441.0
194,1347354900,55,55,55,55,65637.0
195,1347441300,55,55,55,55,307648.0
196,1347527700,55,55,55,55,38508.0
197,1347786900,55,55,55,55,254292.0
198,1347873300,55,55,55,55,189487.0
199,1347959700,55,56,55,56,41700.0
200,1348046100,56,56,55,55,77918.0
201,1348132500,55,55,55,55,107475.0
202,1348391700,55,56,55,55,214951.0
203,1348478100,55,55,55,55,44266.0
204,1348564500,55,55,55,55,108239.0
205,1348650900,55,56,55,55,563606.0
206,1348737300,55,55,55,55,276495.0
207,1348996500,55,55,55,55,133702.0
208,1349082900,55,56,55,56,332055.0
209,1349169300,56,56,55,55,909758.0
210,1349255700,55,55,54,55,554872.0
211,1349342100,55,55,54,55,519339.0
212,1349601300,56,56,55,55,11448.0
213,1349687700,55,55,54,54,37202.0
214,1349774100,54,54,54,54,737.0
215,1349946900,54,54,54,54,737.0
216,1350206100,54,54,54,54,34856.0
217,1350292500,54,54,54,54,3150.0
218,1350551700,54,54,54,54,1541.0
219,1351588500,54,54,54,54,14210.0
220,1351761300,54,55,54,55,4093.0
221,1352020500,55,56,55,56,8326.0
222,1352106900,56,57,56,57,152604.0
223,1352193300,58,59,57,57,191394.0
224,1352279700,58,58,58,58,118244.0
225,1352366100,59,59,59,59,58705.0
226,1352625300,58,58,58,58,8742.0
227,1352711700,58,58,57,58,21855.0
228,1353230100,58,58,58,58,4371.0
229,1353402900,58,58,57,57,62048.0
230,1353489300,57,57,57,57,5103.0
231,1353575700,56,57,56,57,81880.0
232,1353834900,56,56,56,56,2510.0
233,1353921300,56,56,56,56,25394.0
234,1354007700,56,56,56,56,10114.0
235,1354094100,56,56,56,56,269468.0
236,1354180500,56,56,56,56,9948.0
237,1354439700,56,56,56,56,9172.0
238,1354612500,56,56,56,56,11836.0
239,1354698900,56,56,56,56,51721.0
240,1354785300,56,56,56,56,57675.0
241,1355044500,56,56,56,56,43256.0
242,1355130900,56,56,56,56,42395.0
243,1355217300,56,57,56,56,93256.0
244,1355303700,56,56,56,56,12489.0
245,1355390100,56,56,56,56,28837.0
246,1355649300,56,57,56,57,65474.0
247,1355735700,56,57,56,57,32737.0
248,1355822100,56,56,56,56,47489.0
249,1355908500,56,56,56,56,56814.0
250,1355994900,56,57,56,57,96535.0
251,1356254100,57,57,57,57,15457.0
252,1356340500,56,56,56,56,137374.0
253,1356513300,56,56,56,56,5021.0
254,1356599700,56,56,56,56,28837.0
255,1357031700,56,56,56,56,50860.0
256,1357118100,56,56,56,56,145141.0
257,1357204500,56,56,56,56,106025.0
258,1357463700,56,56,56,56,4232.0
259,1357550100,56,56,56,56,789.0
260,1357636500,57,57,57,57,87931.0
261,1357809300,56,56,56,56,1649.0
262,1358068500,56,57,56,57,42216.0
263,1358241300,56,57,56,56,55093.0
264,1358327700,56,56,56,56,55954.0
265,1358414100,56,57,56,57,348300.0
266,1358673300,56,56,56,56,70373.0
267,1358759700,56,56,56,56,32209.0
268,1358846100,57,57,57,57,3426.0
269,1358932500,57,57,57,57,187092.0
270,1359018900,57,57,57,57,21509.0
271,1359278100,57,57,56,56,256958.0
272,1359364500,57,57,57,57,68974.0
273,1359537300,57,57,57,57,7728.0
274,1359623700,57,57,56,57,66349.0
275,1359882900,57,57,57,57,62923.0
276,1359969300,58,58,57,57,91358.0
277,1360055700,57,57,56,57,20634.0
278,1360142100,57,57,57,57,7728.0
279,1360487700,57,57,57,57,38789.0
280,1360660500,57,57,57,57,15457.0
281,1360746900,57,57,57,57,4593.0
282,1360833300,58,58,58,58,82311.0
283,1361092500,58,59,58,59,48921.0
284,1361265300,59,59,58,58,105130.0
285,1361351700,58,58,58,58,10446.0
286,1361438100,57,57,57,57,21509.0
287,1361697300,57,57,57,57,139626.0
288,1361783700,57,58,57,58,435415.0
289,1361870100,58,58,57,57,21581.0
290,1361956500,57,58,57,58,87572.0
291,1362042900,58,58,58,58,61270.0
292,1362302100,58,58,58,58,77051.0
293,1362388500,58,58,58,58,61270.0
294,1362474900,58,58,58,58,11335.0
295,1362561300,58,58,58,58,57047.0
296,1362647700,59,59,59,59,521504.0
297,1362993300,59,59,59,59,387985.0
298,1363166100,59,59,59,59,166408.0
299,1363252500,59,59,59,59,176193.0
300,1363511700,58,58,58,58,42007.0
301,1363598100,58,58,57,57,162885.0
302,1363684500,57,57,57,57,14655.0
303,1363770900,57,57,57,57,3426.0
304,1364116500,57,57,57,57,13780.0
305,1364202900,57,57,57,57,101712.0
306,1364375700,57,57,57,57,86181.0
307,1364807700,57,57,57,57,3426.0
308,1364894100,57,57,57,57,7728.0
309,1365066900,56,56,56,56,4232.0
310,1365326100,57,57,57,57,25810.0
311,1365412500,57,57,57,57,186217.0
312,1365498900,56,56,56,56,26255.0
