"id","date","open","low","high","close","volume"
1,"883905300","170.09","170.09","170.21001","170.21001","12985"
2,"883991700","162.64999","162.64999","170.23","170.23","4825"
3,"884078100","162.87","162.87","170.39","170.39","2170"
4,"884164500","165.47","165.47","170.32001","170.32001","13375"
5,"884250900","180.46001","170.69","180.46001","170.69","9420"
6,"884596500","175.63","170.73","175.63","170.73","6739"
7,"884682900","175.77","170.60001","175.77","170.60001","5433"
8,"887534100","177.75999","176.60001","177.75999","176.60001","7194"
9,"887620500","176.91","176.62","176.91","176.62","1401"
10,"887706900","174.39","174.39","176.11","176.11","3103"
11,"887793300","172.11","172.11","176.12","176.12","11335"
12,"888138900","171.57001","171.57001","176.5","176.5","12234"
13,"888225300","184.52","176.57001","184.52","176.57001","9273"
14,"888484500","187.57001","178.67999","187.57001","178.67999","9773"
15,"888743700","178.17999","177.58","178.17999","177.58","2814"
16,"888830100","184.19","177.86","184.19","177.86","2715"
17,"888916500","175.44","175.44","178.03999","178.03999","5135"
18,"889002900","188.42999","178.56","188.42999","178.56","17629"
19,"889089300","171.21001","171.21001","179.42","179.42","1052"
20,"889348500","177.05","177.05","180.31","180.31","6108"
21,"889434900","178.61","178.61","180.28999","180.28999","9367"
22,"889521300","171.62","171.62","180.22","180.22","10510"
23,"889607700","172.38","172.38","180.36","180.36","6450"
24,"889953300","181.19","180.84","181.19","180.84","722"
25,"890039700","171.86","169.71001","171.86","169.71001","2118"
26,"890126100","178.61","168.91","178.61","168.91","8504"
27,"890212500","165.41","165.41","169.49001","169.49001","2406"
28,"890298900","163.75999","163.75999","170.23","170.23","3435"
29,"890558100","167.91","165.87","167.91","165.87","9682"
30,"890644500","165.96001","165.96001","166.06","166.06","5148"
31,"890730900","165.23","165.23","166.34","166.34","13295"
32,"890817300","167.72","166.62","167.72","166.62","1237"
33,"890903700","162.17","162.17","167.39999","167.39999","16159"
34,"891162900","177.22","167.83","177.22","167.83","10348"
35,"891249300","164.25","164.25","167.06","167.06","2955"
36,"891335700","170.25","166.62","170.25","166.62","613"
37,"891422100","158.00999","158.00999","166.37","166.37","10838"
38,"891508500","175.87","165.87","175.87","165.87","2562"
39,"891854100","163.07001","163.07001","166.47","166.47","13493"
40,"891940500","175.74001","166.64","175.74001","166.64","10042"
41,"892026900","164.17999","164.17999","166.06","166.06","9430"
42,"892113300","171.33","165.82001","171.33","165.82001","605"
43,"892372500","150.14999","150.14999","159.38","159.38","7600"
44,"892458900","159.08","158.86","159.08","158.86","4463"
45,"895137300","162.57001","157.97","162.57001","157.97","15315"
46,"895396500","157.5","157.5","158.00999","158.00999","73"
47,"895482900","160.03999","157.69","160.03999","157.69","1818"
48,"895569300","165.5","157.57001","165.5","157.57001","8873"
49,"895655700","152.42","152.42","157.28999","157.28999","7263"
50,"895742100","160.17999","157.57001","160.17999","157.57001","9926"
51,"896001300","166.95","157.67999","166.95","157.67999","11905"
52,"896087700","165.35001","156.84","165.35001","156.84","13859"
53,"896174100","154.22","154.22","157.05","157.05","2403"
54,"896260500","162.28999","157.56","162.28999","157.56","1852"
55,"896346900","165","156.86","165","156.86","1992"
56,"896692500","163.37","156.86","163.37","156.86","4438"
57,"896778900","146.92999","146.92999","156.42999","156.42999","511"
58,"896865300","165.02","156.91","165.02","156.91","4958"
59,"896951700","157.81","156.77","157.81","156.77","7549"
60,"897210900","157.63","156.78","157.63","156.78","7170"
61,"897297300","149.00999","149.00999","158.05","158.05","13286"
62,"897383700","151.61","151.61","158.32001","158.32001","13183"
63,"897470100","160.67999","159.56","160.67999","159.56","10386"
64,"897556500","153.74001","153.74001","160.16","160.16","11879"
65,"897815700","163.02","159.95","163.02","159.95","12240"
66,"897902100","158.24001","158.24001","160.23","160.23","9562"
67,"897988500","159.72","159.72","160.38","160.38","11091"
68,"898074900","153.8","153.8","161.13","161.13","10834"
69,"898161300","162.71001","160.72","162.71001","160.72","4589"
70,"898420500","156.34","156.34","161.02","161.02","6543"
71,"898506900","159.95","159.95","161.34","161.34","2847"
72,"898593300","160.08","160.08","163.00999","163.00999","10840"
73,"898679700","163.59","163.59","164.07001","164.07001","13032"
74,"898766100","165.42999","164.67999","165.42999","164.67999","16141"
75,"899025300","173.71001","165.92","173.71001","165.92","8418"
76,"899111700","172.32001","165.64999","172.32001","165.64999","9973"
77,"899198100","175.85001","165.87","175.85001","165.87","8014"
78,"899284500","162.42","162.42","166.03","166.03","10150"
79,"899370900","159.46001","159.46001","166.05","166.05","10109"
80,"899630100","163.27","163.27","165.41","165.41","3475"
81,"899716500","163.41","163.41","164.33","164.33","3707"
82,"899802900","173.64","163.73","173.64","163.73","8172"
83,"899889300","155.24001","155.24001","163.44","163.44","13256"
84,"899975700","172.2","162.59","172.2","162.59","9316"
85,"900321300","154.28","154.28","162.49001","162.49001","6771"
86,"900407700","171.17999","162.85001","171.17999","162.85001","6114"
87,"900494100","166.59","163.77","166.59","163.77","10196"
88,"900580500","156.89","156.89","163.35001","163.35001","16027"
89,"900839700","156.35001","156.35001","164.00999","164.00999","837"
